Product             Price               
Fruita                    0,49 €
Alvocat                   1,39 €
Fullaraca                 1,15 €
Pastanaga                 0,17 €
Pebrot verd               0,49 €
Pebrot vermell            1,09 €
Espàrrecs                 1,99 €
Ceba                      0,72 €
All                       0,39 €
Bolets                    1,89 €
Llenties                  0,87 €
Cigrons                   0,75 €
Patates                   0,46 €
Arròs                     1,27 €
Civada                    0,95 €
Cereals                   2,10 €
Pa de motlle              2,49 €
Macarrons                 0,82 €
Galets                    0,82 €
Fideus                    1,50 €
Ravioli                   2,24 €
Caldo                     2,20 €
Llet                      1,20 €
Iogurt                    0,25 €
Iogurt v                  2,56 €
Salsa tomàquet            1,00 €
Tomàquet triturat         1,10 €
Fajita                    1,30 €
Suc de taronja            1,65 €
Olives                    1,99 €
Patates fregides          0,88 €
Ous                       0,28 €
Embotit                   4,09 €
Xoriço                    3,49 €
Tofu                      2,29 €
Vamburguesa               2,35 €
Hamburguesa               1,00 €
Llom                      0,74 €
Pollastre                 0,82 €
Carn picada               0,66 €
Peix                      0,70 €
Barretes de cranc         0,93 €
Formatge                  2,20 €
Cafè                      0,17 €
Avellanes                 3,95 €
Nous                      1,25 €
Atmetlles                 2,19 €
