Product             Amount              Cost                
Fruita                              4,00      1,96 €
Pastanaga                           1,00      0,17 €
Pebrot verd                         0,50      0,25 €
Pebrot vermell                      0,95      1,04 €
Espàrrecs                           1,80      3,51 €
Ceba                                3,00      2,16 €
Bolets                              2,30      4,35 €
Llenties                            0,50      0,44 €
Pa de motlle                        0,30      0,75 €
Ravioli                             0,50      1,12 €
Caldo                               2,00      4,40 €
Iogurt                              7,00      1,75 €
Iogurt vegà                         2,00      5,12 €
Tomàquet triturat                   1,00      1,10 €
Olives                              1,00      1,99 €
Embotit                             0,10      0,41 €
Proteïna vegana                     4,00      4,70 €
Pollastre                           1,00      0,82 €
Formatge                            1,00      2,20 €
Atmetlles                           0,45      0,99 €
Total                                        39,21 €
